,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Constitución,-35.3333,-72.4167,14.59,83,2,0.71,CL,1612322368
1,Tondano,1.3038,124.9112,26.0,83,40,4.63,ID,1612322369
2,Puerto Ayora,-0.7393,-90.3518,25.0,94,100,1.34,EC,1612322369
3,Bluff,-46.6,168.3333,14.18,71,84,2.19,NZ,1612322369
4,Poum,-20.2333,164.0167,25.24,81,100,11.5,NC,1612322369
